Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.17014122667739E-19,0.000618795169331327,0.0130802854264847,0,0,0,0.382463662284906,0.000436715101142595,-5.13379791175437E-21,6.91673726804431E-21,0.000451031799669551,7.29000884268053E-07,0.000837893536635359,0,0,0,0,0,0,package://dofnine4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dofnine4/meshes/base_link.STL,,底座70-2,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,4.26856191622094E-10,-8.98950775120172E-05,0.00630420916246924,0,0,0,1.07941290222332,0.00208785387880582,-1.4826084073053E-10,3.81615434706481E-10,0.00160413020613398,-6.10657722236426E-07,0.00191423627434087,0,0,0,0,0,0,package://dofnine4/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dofnine4/meshes/Link1.STL,,S轴50-1,坐标系1,rotz1,joint1,revolute,0,0,0.09,1.5708,0,3.1416,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
Link2,-0.210005372073954,-6.72978339721908E-12,0.119922540954011,0,0,0,2.55928066457366,0.00455429949615839,9.5235852027459E-10,5.85104824094678E-07,0.0971147033093044,7.88752118663884E-13,0.0961474311368105,0,0,0,0,0,0,package://dofnine4/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dofnine4/meshes/Link2.STL,,S轴50-2;S轴50-4;下臂45-1,坐标系1,rotz2,joint2,revolute,0,0,0,0,0,0,Link1,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link3,-0.258297496495133,9.29424508328003E-08,0.00255403577713518,0,0,0,1.17113450129019,0.00161010600022899,-1.55189359452696E-08,-0.000775488342638417,0.0306269407559279,2.77993622374225E-08,0.030393600630592,0,0,0,0,0,0,package://dofnine4/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine4/meshes/Link3.STL,,弯头45-1;上臂40-1;R-B-T轴-1,坐标系2,rotz3,joint3,revolute,-0.42,0,0,0,0,0,Link2,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link4,1.22980003958162E-09,-0.00561370801496067,0.000110059919152264,0,0,0,0.582005099414678,0.000761796751548953,1.4963474595435E-11,4.47914161145852E-11,0.000689442860316129,-3.5958850430224E-07,0.00056433773579828,0,0,0,0,0,0,package://dofnine4/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine4/meshes/Link4.STL,,R-B-T轴-3,坐标系4,rotz4,joint4,revolute,-0.4,0,0.1,1.5708,0,0,Link3,0,-1,0,100,3,-3.14,3.14,,,,,,,,
Link5,-1.10254394503073E-09,0.00606080729798903,-0.000876771161951687,0,0,0,0.539069799173127,0.000700054524920547,2.80818700531353E-11,-3.75358864544162E-11,0.00062916185295728,-2.86426233934681E-06,0.000545629458857338,0,0,0,0,0,0,package://dofnine4/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine4/meshes/Link5.STL,,T轴-1,坐标系5,rotz5,joint5,revolute,0,0,0.1,-1.5708,0,0,Link4,0,-1,0,100,3,-3.14,3.14,,,,,,,,
Link6,-3.33066907387547E-16,5.3776427755281E-17,-0.0250000000000002,0,0,0,0.00844911636473055,2.33861406079627E-06,-1.2924697071142E-23,1.32000780054905E-21,2.33861406079627E-06,7.22353276953213E-23,1.15676296962146E-06,0,0,0,0,0,0,package://dofnine4/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine4/meshes/Link6.STL,,套筒-1,坐标系6,rotz6,joint6,revolute,0,0,0.1,0,0,0,Link5,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link7,3.18854742609176E-09,-0.297660360929499,2.98166331832994E-08,0,0,0,0.183617294024981,0.00524294237262041,-1.42815452318038E-10,2.89096367391935E-13,9.23296314885479E-06,-1.3377812848702E-09,0.00524285615727471,0,0,0,0,0,0,package://dofnine4/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine4/meshes/Link7.STL,,长杆0-1,坐标系7,rotz6,joint7,prismatic,0,0,0.04,1.5708,0,0,Link6,0,1,0,100,3,0.01,0.5,,,,,,,,
Link8,0.0367515090957904,3.9743794338909E-08,4.67182923076515E-09,0,0,0,0.0238747438440848,1.19707364590308E-06,-3.82912865565906E-11,-4.42953916227951E-12,1.44418724339531E-05,-8.14229112368807E-14,1.45882633135747E-05,0,0,0,0,0,0,package://dofnine4/meshes/Link8.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine4/meshes/Link8.STL,,长杆1-1,坐标系7,rotz8,joint8,revolute,0,0,0,0,0,0,Link7,0,0,-1,100,3,-3.14,3.14,,,,,,,,
Link9,0.0509634073607842,2.94902990916057E-17,-1.66533453693773E-16,0,0,0,0.0330778237140973,1.63246639041242E-06,-5.33023335267237E-21,-1.56202327628569E-19,3.33087605310079E-05,-9.26063522676001E-22,3.34236789352973E-05,0,0,0,0,0,0,package://dofnine4/meshes/Link9.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine4/meshes/Link9.STL,,长杆2-1,坐标系8,rotz9,joint9,revolute,0.08,0,0,-1.5708,0,0,Link8,0,0,1,100,3,-3.14,3.14,,,,,,,,
