Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.16694840266287E-19,-0.000618795169331327,0.0130802854264847,0,0,0,0.382463662284906,0.000436715101142595,-5.13999880283737E-21,-6.91610142897345E-21,0.000451031799669551,-7.29000884268053E-07,0.000837893536635359,0,0,0,0,0,0,package://dofnine9/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dofnine9/meshes/base_link.STL,,底座70-2,coord0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,4.26856191622095E-10,-0.00630420916246924,0.089910104922488,0,0,0,1.07941290222332,0.00208785387880581,-3.81615434706481E-10,-1.4826084067632E-10,0.00191423627434086,6.10657722236418E-07,0.00160413020613398,0,0,0,0,0,0,package://dofnine9/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dofnine9/meshes/Link1.STL,,S轴50-1,coord0,rotz1,joint1,revolute,0,0,0,0,0,0,base_link,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link2,-0.210005372073954,-6.7298250305825E-12,0.11992254095401,0,0,0,2.55928066457366,0.00455429949615839,9.52358519830878E-10,5.85104824265518E-07,0.0971147033093044,7.88752205785414E-13,0.0961474311368105,0,0,0,0,0,0,package://dofnine9/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dofnine9/meshes/Link2.STL,,S轴50-2;S轴50-4;下臂45-1,coord1,rotz2,joint2,revolute,0,0,0.09,1.5708,0,0,Link1,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link3,-0.258297556870766,8.98894319534271E-08,0.00255402929373081,0,0,0,1.17113419095413,0.00161010575917539,-1.47108445036194E-08,-0.000775486623024349,0.0306269244479592,2.78918441206503E-08,0.0303935844739909,0,0,0,0,0,0,package://dofnine9/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine9/meshes/Link3.STL,,弯头45-1;上臂40-1;R-B-T轴-1,coord2,rotz3,joint3,revolute,-0.42,0,0,0,0,0,Link2,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link4,1.22980015060392E-09,-0.000110059919152319,0.0943862919850394,0,0,0,0.582005099414677,0.000761796751548953,-4.47914159880313E-11,1.49634747260916E-11,0.000564337735798279,3.59588504302477E-07,0.000689442860316128,0,0,0,0,0,0,package://dofnine9/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine9/meshes/Link4.STL,,R-B-T轴-3,coord3,rotz4,joint4,revolute,-0.4,0,0,0,0,0,Link3,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link5,-1.10254394503073E-09,-0.000876771161951687,0.093939192702011,0,0,0,0.539069799173127,0.000700054524920547,-3.75358863577517E-11,-2.80818695732776E-11,0.000545629458857338,2.86426233934672E-06,0.000629161852957279,0,0,0,0,0,0,package://dofnine9/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine9/meshes/Link5.STL,,T轴-1,coord4,rotz5,joint5,revolute,0,0,0.1,1.5708,0,0,Link4,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link6,-2.58002319508677E-09,-2.5800224734418E-09,0.0715855323598142,0,0,0,0.0252319789437908,6.47045783870182E-06,1.33797181647384E-19,-5.74869061482902E-13,6.47045783870183E-06,-5.7486906544807E-13,5.07602178121687E-06,0,0,0,0,0,0,package://dofnine9/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine9/meshes/Link6.STL,,套筒-1,coord5,rotz6,joint6,revolute,0,0,0.1,-1.5708,0,0,Link5,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link7,3.18854698200255E-09,-2.98166338719846E-08,-0.2976603609295,0,0,0,0.183617294024981,0.00524294237262042,-2.89096363482847E-13,-1.42815452299075E-10,0.00524285615727472,1.33778128312521E-09,9.23296314885479E-06,0,0,0,0,0,0,package://dofnine9/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine9/meshes/Link7.STL,,长杆0-1,coord6,tanslz7,joint7,prismatic,0,0,0.1,0,0,0,Link6,0,0,1,100,3,0.01,0.5,,,,,,,,
Link8,0.021930052716134,5.50581861213928E-08,5.6072394991058E-09,0,0,0,0.0144500224231954,7.25838367902243E-07,-2.22961453073982E-11,-2.31849738629609E-12,4.32149862979494E-06,-3.87107012626099E-14,4.46788487782012E-06,0,0,0,0,0,0,package://dofnine9/meshes/Link8.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine9/meshes/Link8.STL,,长杆1-1,coord7,rotz8,joint8,revolute,0,0,0,1.5708,0,0,Link7,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link9,0.0207493202132404,-2.77555756156289E-17,2.77555756156289E-17,0,0,0,0.0142282632934898,6.89988234928139E-07,7.9967180250553E-22,-4.32770129714791E-20,3.54135811426249E-06,1.22103616163163E-21,3.65627689479094E-06,0,0,0,0,0,0,package://dofnine9/meshes/Link9.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine9/meshes/Link9.STL,,长杆2-1,coord8,rotz9,joint9,revolute,0.05,0,0,-1.5708,0,0,Link8,0,0,1,100,3,-3.14,3.14,,,,,,,,
